class,identity,path,detail
"api_route","/api/sms/twilio","src/app/api/sms/twilio/route.ts","POST"
"api_route","/api/stripe/webhook","src/app/api/stripe/webhook/route.ts","POST"
"api_route","/api/support/delivery-callback","src/app/api/support/delivery-callback/route.ts","POST"
"api_route","/api/system-jobs","src/app/api/system-jobs/route.ts","GET"
"api_route","/api/system-jobs/[id]/stream","src/app/api/system-jobs/[id]/stream/route.ts","GET"
"api_route","/api/webhooks/twilio/status","src/app/api/webhooks/twilio/status/route.ts","POST"
"api_route","/api/workspaces/active","src/app/api/workspaces/active/route.ts","DELETE|POST"
"api_route","/auth/callback","src/app/auth/callback/route.ts","GET"
"api_route","/robots.txt","src/app/robots.txt/route.ts","GET"
"api_route","/sitemap.xml","src/app/sitemap.xml/route.ts","GET"
"api_route","/staging-private-image-gate-proof-v2/[commit]","src/app/staging-private-image-gate-proof-v2/[commit]/route.ts","GET"
"cron","*/1 * * * * /api/internal/ghl-form-sweep","vercel.json","*/1 * * * *"
"http_handler","DELETE /api/assets/[id]","src/app/api/assets/[id]/route.ts","DELETE"
"http_handler","DELETE /api/auth/session","src/app/api/auth/session/route.ts","DELETE"
"http_handler","DELETE /api/campaigns/[id]/meta-activation","src/app/api/campaigns/[id]/meta-activation/route.ts","DELETE"
"http_handler","DELETE /api/campaigns/[id]/optimization-policy","src/app/api/campaigns/[id]/optimization-policy/route.ts","DELETE"
"http_handler","DELETE /api/onboarding/plan","src/app/api/onboarding/plan/route.ts","DELETE"
"http_handler","DELETE /api/workspaces/active","src/app/api/workspaces/active/route.ts","DELETE"
"http_handler","GET /api/account-deletion","src/app/api/account-deletion/route.ts","GET"
"http_handler","GET /api/assets/[id]","src/app/api/assets/[id]/route.ts","GET"
"http_handler","GET /api/auth/mfa","src/app/api/auth/mfa/route.ts","GET"
"http_handler","GET /api/autonomy","src/app/api/autonomy/route.ts","GET"
"http_handler","GET /api/billing/credits","src/app/api/billing/credits/route.ts","GET"
"http_handler","GET /api/billing/status","src/app/api/billing/status/route.ts","GET"
"http_handler","GET /api/campaign/actions","src/app/api/campaign/actions/route.ts","GET"
"http_handler","GET /api/campaign/creative-performance","src/app/api/campaign/creative-performance/route.ts","GET"
"http_handler","GET /api/campaign/drafts","src/app/api/campaign/drafts/route.ts","GET"
"http_handler","GET /api/campaign/launch-audit","src/app/api/campaign/launch-audit/route.ts","GET"
"http_handler","GET /api/campaign/runtime","src/app/api/campaign/runtime/route.ts","GET"
"http_handler","GET /api/campaigns","src/app/api/campaigns/route.ts","GET"
"http_handler","GET /api/campaigns/[id]","src/app/api/campaigns/[id]/route.ts","GET"
"http_handler","GET /api/campaigns/[id]/assets","src/app/api/campaigns/[id]/assets/route.ts","GET"
